appearance_id,raw_name,designation_raw,case_id,hearing_date,appearing_for
1,Pal Singh,Adv.,10001,2022-06-29,Union of India
2,P. V. Shetty,Sr. Adv.,10001,2022-06-29,Union of India
3,Aarav Bhatia,Sr. Advocate,10002,2025-03-25,Petitioner
4,Ashok Malik,Sr. Adv.,10002,2025-03-25,Petitioner
5,Aakanksha Sahani,AOR,10002,2025-03-25,Petitioner
6,Aditya Bhati,AOR,10002,2025-03-25,Petitioner
7,R. Balasubramaium,Sr. Advocate,10003,2020-11-26,Petitioner
8,A. Sahithya Krishna,AOR,10003,2020-11-26,Petitioner
9,S. Prabakaran,Adv.,10003,2020-11-26,Petitioner
10,Rahul Shukla,Sr. Adv.,10004,2018-09-22,Respondent
11,Siddharth S. Chapalgoankar,Advocate-on-Record,10005,2022-12-22,Respondent
12,R. Anand Padmananham,AoR,10005,2022-12-22,Respondent
13,Mothi Jaiswal,A.O.R.,10005,2022-12-22,Respondent
14,M. Chandrakanta Reddy,Advocate ,10005,2022-12-22,Respondent
15,Naman Vashishtha,Advocate ,10005,2022-12-22,Respondent
16,Abhinav Shrivastava,advocate,10006,2021-09-20,Petitioner
17,Vinod Bhiduri,Advocate on Record,10007,2023-03-04,Petitioner
18,Praveen Kumar Shharma,A.O.R.,10008,2024-06-08,State
19,S. n. Mitra,A.O.R.,10008,2024-06-08,State
20,Rahul Kushwaha,advocate,10009,2022-06-06,State
21,K. V. Kharlyngdoh,advocate,10009,2022-06-06,State
22,Avijit Mani Tripathi,AOR,10009,2022-06-06,State
23,Suresh Kumar,Advocate,10009,2022-06-06,State
24,Vikash Chandra Shukla,advocate,10010,2025-08-30,State
25,Arvindh Datar,Sr. Adv.,10011,2020-05-29,Respondent
26,Aashish Bhagat,Advocate ,10011,2020-05-29,Respondent
27,N. Venkataram,A.O.R.,10012,2023-01-01,Respondent
28,Abhinav Kumar Shrivastava,Adv.,10012,2023-01-01,Respondent
29,Vikramjeet Banernee,AOR,10013,2024-12-11,Intervenor
30,Kynpham V. Khalyngdoh,Advocate ,10014,2021-04-23,State
31,Yashswini,A.O.R.,10014,2021-04-23,State
32,Mukul Rohatgi,Sr.Adv,10015,2024-03-05,State
33,Rahul Shamber,Advocate on Record,10015,2024-03-05,State
34,N. Venkataraman,AoR,10015,2024-03-05,State
35,M. Venkatesulu,A.O.R.,10016,2021-02-19,State
36,N. Venkatraman,A.O.R.,10017,2020-03-27,Applicant
37,M. Sathyanarayanan,A.O.R.,10017,2020-03-27,Applicant
38,Nithin Chowdray Pavuluri,Sr. Advocate,10018,2023-11-24,Respondent
39,P. Vishwanatha Sheety,Senior Advocate,10018,2023-11-24,Respondent
40,V. Chittambaresh,Advocate ,10018,2023-11-24,Respondent
41,Aarav Bhatia,Advocate-on-Record,10018,2023-11-24,Respondent
42,R Balasubhramanium,Sr.Adv,10018,2023-11-24,Respondent
43,Vishal Khana,Advocate,10019,2024-02-05,Petitioner
44,Mohammad Farman Ashraf,Adv.,10019,2024-02-05,Petitioner
45,K. Parmeswaran,Advocate,10019,2024-02-05,Petitioner
46,Ehraaz Zafar,A.O.R.,10020,2025-12-31,Union of India
47,V. Chithembaresh,advocate,10020,2025-12-31,Union of India
48,Ananya Mittal,Senior Adv.,10020,2025-12-31,Union of India
49,Hema Aahu,AOR,10020,2025-12-31,Union of India
50,Sabbir Kacchi,Sr. Adv.,10020,2025-12-31,Union of India
51,Sughosh Subramaniyam,advocate,10020,2025-12-31,Union of India
52,V Chithambres,advocate,10021,2023-06-09,Union of India
53,Saunak Kumar Rajguru,Advocate-on-Record,10021,2023-06-09,Union of India
54,Piyush Deshpande,AoR,10021,2023-06-09,Union of India
55,Rakesh Aggrawal,Advocate ,10022,2023-08-20,Union of India
56,Alapati Sahithya Krishna,A.O.R.,10022,2023-08-20,Union of India
57,Saunak Rajguru,A.O.R.,10022,2023-08-20,Union of India
58,Aarav Bhatia,AoR,10022,2023-08-20,Union of India
59,Partiv K. Goswami,A.O.R.,10022,2023-08-20,Union of India
60,Abhinav Shrivastava,advocate,10023,2020-01-07,Petitioner
61,Sunil Narayanan S.,Advocate ,10023,2020-01-07,Petitioner
62,Abhishek Kumar Pandey,Senior Adv.,10023,2020-01-07,Petitioner
63,Beena Victo,AoR,10024,2020-06-16,Petitioner
64,Kynpham V. Karlyngdoh,Advocate,10024,2020-06-16,Petitioner
65,Kynphamlin V Kharlyngdoh,Adv.,10025,2021-02-24,Petitioner
66,K. Parmeswaran,Advocate ,10025,2021-02-24,Petitioner
67,T. R. B. Sivakumar,Advocate-on-Record,10025,2021-02-24,Petitioner
68,Aanand Krishna,A.O.R.,10025,2021-02-24,Petitioner
69,Garima Prasadh,AoR,10025,2021-02-24,Petitioner
70,Garima Parashad,Advocate-on-Record,10026,2023-04-17,Intervenor
71,A. S. Krishna,Advocate-on-Record,10026,2023-04-17,Intervenor
72,Gopal Sankarnaraynan,Senior Advocate,10026,2023-04-17,Intervenor
73,Satish Bakshi,advocate,10026,2023-04-17,Intervenor
74,Swati Ghildhiyal,Advocate-on-Record,10027,2024-07-20,Respondent
75,Kapil Sibal,Sr.Adv,10027,2024-07-20,Respondent
76,Swati Gildiyal,A.O.R.,10027,2024-07-20,Respondent
77,SharavanMadhav K. P,Advocate on Record,10028,2019-02-15,Respondent
78,P. V. Yogeshwaran,AOR,10028,2019-02-15,Respondent
79,Sailandra Solanki,Advocate ,10028,2019-02-15,Respondent
80,M. Sathyanarayanan,Advocate-on-Record,10028,2019-02-15,Respondent
81,Kapil Sibhal,Sr.Adv,10028,2019-02-15,Respondent
82,Aarav Bhatia,advocate,10028,2019-02-15,Respondent
83,Sughosh Subramanayam,advocate,10029,2020-12-27,Intervenor
84,Vishal Khanna,advocate,10029,2020-12-27,Intervenor
85,Kapil Sibal,Senior Advocate,10029,2020-12-27,Intervenor
86,Akshay Amritsanshu,AoR,10029,2020-12-27,Intervenor
87,K. V. Kharlyngdoh,advocate,10030,2018-08-18,Respondent
88,Praveen Sharma,AoR,10030,2018-08-18,Respondent
89,Swati Ghildiyla,AOR,10030,2018-08-18,Respondent
90,Rakesh Aggrawal,Advocate,10030,2018-08-18,Respondent
91,R. Anand Padmananham,Advocate on Record,10031,2022-05-10,Union of India
92,Gaurav Nats,Advocate-on-Record,10031,2022-05-10,Union of India
93,R. Anand Padmanadhan,AOR,10031,2022-05-10,Union of India
94,Vishal Khanna,Advocate,10032,2019-12-13,Respondent
95,Parveen Sharma,A.O.R.,10032,2019-12-13,Respondent
96,Rajesh Singh Chauchan,AoR,10032,2019-12-13,Respondent
97,M. Sathyanarayanan,Advocate-on-Record,10032,2019-12-13,Respondent
98,Vinayak Shartma,Adv.,10032,2019-12-13,Respondent
99,N Venkatrama,Advocate on Record,10033,2021-07-26,Applicant
100,Pal Singh,advocate,10033,2021-07-26,Applicant
101,Sandeep Payaal,AOR,10034,2024-08-20,Petitioner
102,Garima Prashad u. p,Advocate-on-Record,10034,2024-08-20,Petitioner
103,Naman Vishastha,Advocate,10034,2024-08-20,Petitioner
104,V. Khanna,Advocate ,10034,2024-08-20,Petitioner
105,Kapil Sibbal,Senior Advocate,10035,2021-12-11,Intervenor
106,Anand Satyaselan,Sr. Advocate,10035,2021-12-11,Intervenor
107,Priya Sharma,Sr. Advocate,10035,2021-12-11,Intervenor
108,N Venkatramnan,AOR,10035,2021-12-11,Intervenor
109,K. Parmeswaran,Advocate ,10036,2024-04-25,Respondent
110,Vishal Khanna,Adv.,10036,2024-04-25,Respondent
111,Zaid Raza,Advocate ,10036,2024-04-25,Respondent
112,Vikramjeet Banjeree,AoR,10037,2023-07-10,Intervenor
113,Rajesh Singh Chaunhan,Advocate on Record,10037,2023-07-10,Intervenor
114,Akshay Amkritanshu,Advocate on Record,10037,2023-07-10,Intervenor
115,Kapil Sibal,Senior Advocate,10037,2023-07-10,Intervenor
116,Aarav Bhatia,AoR,10038,2023-07-02,Petitioner
117,Bholle Taguru Pharmendra,AoR,10038,2023-07-02,Petitioner
118,Prateek K Chaddha,Advocate-on-Record,10039,2020-08-10,Intervenor
119,Arvindh Datar,Sr. Advocate,10040,2023-11-27,State
120,Gopal Sankaranarayanan,Senior Adv.,10040,2023-11-27,State
121,M. Sathyanarayanan,Advocate on Record,10041,2024-11-20,Respondent
122,Rajeev Kumar Choudhary,Senior Adv.,10042,2021-10-27,Applicant
123,Prateek Chada,A.O.R.,10042,2021-10-27,Applicant
124,Rajan Kumat Chourasia,A.O.R.,10042,2021-10-27,Applicant
125,Rahul Shukla,Sr.Adv,10042,2021-10-27,Applicant
126,M. Sathyanarayanan,A.O.R.,10043,2021-08-18,Petitioner
127,DrishtiS Saraf,Sr. Adv.,10043,2021-08-18,Petitioner
128,Vishal Khanna,Advocate ,10044,2024-07-30,Applicant
129,Hasan Sayed,Advocate on Record,10045,2019-03-31,Intervenor
130,T. S. Ahuja,Advocate,10045,2019-03-31,Intervenor
131,M. Satyanarayana,A.O.R.,10045,2019-03-31,Intervenor
132,Mala Venkatesulu,A.O.R.,10045,2019-03-31,Intervenor
133,Gagan Tiwari,AOR,10045,2019-03-31,Intervenor
134,Vinay Kumar Aherodiya,Adv.,10046,2018-10-25,Union of India
135,Ajith Willayam,A.O.R.,10046,2018-10-25,Union of India
136,Gopal Sankaranarayanan,Sr.Adv,10046,2018-10-25,Union of India
137,Avijit Chakraborty,Advocate on Record,10046,2018-10-25,Union of India
138,Garima Prasha,AoR,10046,2018-10-25,Union of India
139,Hitesh B. J.,Advocate ,10047,2025-06-05,State
140,Laxmi Narayan Pandey,AOR,10047,2025-06-05,State
141,Siddharth S. Chapalgoankar,AoR,10047,2025-06-05,State
142,Awadesh Chaubey,AOR,10047,2025-06-05,State
143,M. Sathyanarayana,Advocate-on-Record,10048,2021-10-10,Union of India
144,Chittra Y. Parade,Advocate,10048,2021-10-10,Union of India
145,M. Chandrakanth Reddy,Adv.,10048,2021-10-10,Union of India
146,Sathvik Chandrasekar,A.O.R.,10049,2019-10-08,Applicant
147,Suresh Kumar,advocate,10049,2019-10-08,Applicant
148,Abdesh Chaudhary,AoR,10050,2025-03-03,State
149,Askhay Amritanshu,Advocate on Record,10050,2025-03-03,State
150,Deepak Nargolkar,AOR,10050,2025-03-03,State
151,Bholle Taguru Pharendra,Advocate-on-Record,10050,2025-03-03,State
152,Indira B.,advocate,10050,2025-03-03,State
153,Jandyala Ravi Shankar,AOR,10051,2019-12-15,Applicant
154,Kapil Sibal,Senior Adv.,10051,2019-12-15,Applicant
155,Naman Vashisththa,Advocate,10051,2019-12-15,Applicant
156,Abhinav K. Mutyalwar,Advocate-on-Record,10052,2025-10-11,Intervenor
157,Prateek K Chadha,Advocate-on-Record,10052,2025-10-11,Intervenor
158,Awaint Kumar Singh,Advocate-on-Record,10052,2025-10-11,Intervenor
159,Vijayesh Atre,A.O.R.,10052,2025-10-11,Intervenor
160,Deepak Nargolkar,AOR,10052,2025-10-11,Intervenor
161,R. Anand Padmanabhan,Advocate on Record,10052,2025-10-11,Intervenor
162,Nagma Khan,Senior Advocate,10053,2020-07-03,Applicant
163,M. Chandrakhanth Reddy,Advocate,10053,2020-07-03,Applicant
164,Abhishek Kumar Pandey,Senior Adv.,10053,2020-07-03,Applicant
165,V. chitamaresh,Adv.,10053,2020-07-03,Applicant
166,Gopalkrishnan P.,advocate,10054,2019-12-20,State
167,Oppal Tiwari,advocate,10054,2019-12-20,State
168,K. V. Kharlyngdoh,Advocate ,10054,2019-12-20,State
169,Garima Prasha,Advocate-on-Record,10055,2025-09-21,Union of India
170,Swikar Sankrit,Adv.,10055,2025-09-21,Union of India
171,P. Vishwanatha Sheety,Senior Advocate,10056,2018-01-08,Applicant
