cluster_id,canonical_name,inferred_designation,name_selection_reason,member_count,unique_raw_names,unique_cases,all_raw_variants
1,Pal Singh,ADVOCATE,most_frequent,6,1,6,Pal Singh
2,P. Vishwanatha Sheety,SENIOR,most_frequent,67,8,63,P. V. Shetty | P. Vishwanath Shetty | P. Vishwanatha Setty | P. Vishwanatha Sheety | P. Vishwanatha Shetty | P. Vishwanathan Shetty | P. Viswanatha Shetty | P. v. Vishwanatha Shetty
3,Aarav Bhatia,ADVOCATE,most_frequent,75,4,74,A. Bhatia | Aarav Bhatia | Aarav Bhatiya | Aditya Bhati
4,Ashok Malik,SENIOR,most_frequent,6,1,6,Ashok Malik
5,Aakanksha Sahani,AOR,most_frequent,5,1,5,Aakanksha Sahani
6,R Balasubhramanium,SENIOR,most_frequent,17,5,17,R Balasubhramanium | R Balasubramaniumn | R. Balasubramaium | R. Balasubramiam | R. Balasubramium
7,Alapati Sahithya Krishna,AOR,most_frequent,32,5,32,A. S. Krishna | A. Sahithya Krishna | Alapati Sahithya Krishna | Alapati Sahitya Krishna | Alapati Sathithya Krishna
8,Sethu Prabhakaran,ADVOCATE,most_frequent,24,5,24,S. Prabakaran | S. Prabhakar | S. Prabhakaran | Sethu Prabakaran | Sethu Prabhakaran
9,Rahul Shukla,SENIOR,most_frequent,5,1,5,Rahul Shukla
10,Siddharth S. Chapalgoankar,AOR,most_frequent,29,6,29,Siddharth Chapalgaokar | Siddharth S. Chapalganonkar | Siddharth S. Chapalgaokar | Siddharth S. Chapalgaonkar | Siddharth S. Chapalgaorkar | Siddharth S. Chapalgoankar
11,R. Anand Padmanabhan,AOR,registry(sim=1.00),67,12,64,R Anand Padmanaban | R Anand Padmanabha | R Anand Padmanabhan Padmanabhan | R. Ananad Padmanabhan | R. Anand Padmanabham | R. Anand Padmanabhan | R. Anand Padmanabhavan | R. Anand Padmanabhgan | R. Anand Padmanadhan | R. Anand Padmananham | R. Anand Padmnanabhan | R. Anand Padnamabhan
12,Mothi Jaiswal,AOR,most_frequent,2,1,2,Mothi Jaiswal
13,M. Chandrakanth Reddy,ADVOCATE,most_frequent,54,8,52,M. Chandankanth Reddy | M. Chandrakant Reddy | M. Chandrakanta Reddy | M. Chandrakanth Reddy | M. Chandrakantn Reddy | M. Chandrakath Reddy | M. Chandrakhanth Reddy | M. Cnahdrakant Reddy
14,Naman Vashishtha,ADVOCATE,most_frequent,17,6,17,Naman Vashishtha | Naman Vashistha | Naman Vashisththa | Naman Vasishta | Naman Vasishtha | Naman Vishastha
15,Abhinav Kumar Srivastava,ADVOCATE,most_frequent,34,8,34,Abhinav Kumar Shrivastava | Abhinav Kumar Srivastava | Abhinav Sharivastava | Abhinav Shrivasava | Abhinav Shrivastav | Abhinav Shrivastava | Abhinav Srivastav | Ahinav Shrivastava
16,Vinod Bhiduri,AOR,most_frequent,4,1,4,Vinod Bhiduri
