appearance_id,cluster_id,canonical_name,inferred_designation,confidence_score,raw_name,norm_name,designation_raw,case_id,hearing_date,appearing_for,desig_inference_reason,name_selection_reason
1,1,Pal Singh,ADVOCATE,0.95,Pal Singh,pal singh,Adv.,10001,2022-06-29,Union of India,unanimous_3plus+latest_agrees,most_frequent
100,1,Pal Singh,ADVOCATE,0.95,Pal Singh,pal singh,advocate,10033,2021-07-26,Applicant,unanimous_3plus+latest_agrees,most_frequent
340,1,Pal Singh,ADVOCATE,0.95,Pal Singh,pal singh,advocate,10114,2020-11-22,Union of India,unanimous_3plus+latest_agrees,most_frequent
609,1,Pal Singh,ADVOCATE,0.95,Pal Singh,pal singh,Adv.,10196,2022-04-13,Intervenor,unanimous_3plus+latest_agrees,most_frequent
1976,1,Pal Singh,ADVOCATE,0.95,Pal Singh,pal singh,advocate,10632,2018-04-28,Petitioner,unanimous_3plus+latest_agrees,most_frequent
2475,1,Pal Singh,ADVOCATE,0.95,Pal Singh,pal singh,Adv.,10794,2021-03-24,Petitioner,unanimous_3plus+latest_agrees,most_frequent
2,2,P. Vishwanatha Sheety,SENIOR,0.868,P. V. Shetty,p v shetty,Sr. Adv.,10001,2022-06-29,Union of India,unanimous_3plus+latest_agrees,most_frequent
39,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Senior Advocate,10018,2023-11-24,Respondent,unanimous_3plus+latest_agrees,most_frequent
171,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Senior Advocate,10056,2018-01-08,Applicant,unanimous_3plus+latest_agrees,most_frequent
375,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Sr. Advocate,10124,2020-12-17,State,unanimous_3plus+latest_agrees,most_frequent
394,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanathan Shetty,p vishwanathan shetty,Sr.Adv,10130,2023-05-01,Union of India,unanimous_3plus+latest_agrees,most_frequent
432,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Sr. Advocate,10144,2020-10-18,Petitioner,unanimous_3plus+latest_agrees,most_frequent
434,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Senior Advocate,10144,2020-10-18,Petitioner,unanimous_3plus+latest_agrees,most_frequent
447,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Sr. Advocate,10148,2020-09-17,Union of India,unanimous_3plus+latest_agrees,most_frequent
563,2,P. Vishwanatha Sheety,SENIOR,0.947,P. v. Vishwanatha Shetty,p v vishwanatha shetty,Senior Adv.,10183,2019-11-28,Applicant,unanimous_3plus+latest_agrees,most_frequent
601,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Setty,p vishwanatha setty,Sr. Adv.,10194,2018-10-19,State,unanimous_3plus+latest_agrees,most_frequent
634,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Senior Adv.,10205,2018-12-27,Respondent,unanimous_3plus+latest_agrees,most_frequent
658,2,P. Vishwanatha Sheety,SENIOR,0.945,P. Vishwanatha Shetty,p vishwanatha shetty,Senior Advocate,10213,2021-07-02,Respondent,unanimous_3plus+latest_agrees,most_frequent
659,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Sr.Adv,10213,2021-07-02,Respondent,unanimous_3plus+latest_agrees,most_frequent
698,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Senior Advocate,10228,2018-03-22,Petitioner,unanimous_3plus+latest_agrees,most_frequent
763,2,P. Vishwanatha Sheety,SENIOR,0.945,P. Vishwanath Shetty,p vishwanath shetty,Senior Adv.,10249,2021-04-27,Union of India,unanimous_3plus+latest_agrees,most_frequent
774,2,P. Vishwanatha Sheety,SENIOR,0.947,P. v. Vishwanatha Shetty,p v vishwanatha shetty,Sr. Adv.,10252,2021-07-04,State,unanimous_3plus+latest_agrees,most_frequent
779,2,P. Vishwanatha Sheety,SENIOR,0.947,P. v. Vishwanatha Shetty,p v vishwanatha shetty,Sr. Advocate,10253,2019-01-25,Petitioner,unanimous_3plus+latest_agrees,most_frequent
881,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Setty,p vishwanatha setty,Sr. Advocate,10283,2021-09-17,Union of India,unanimous_3plus+latest_agrees,most_frequent
963,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Setty,p vishwanatha setty,Sr. Adv.,10311,2023-08-28,Respondent,unanimous_3plus+latest_agrees,most_frequent
1003,2,P. Vishwanatha Sheety,SENIOR,0.945,P. Vishwanatha Shetty,p vishwanatha shetty,Sr. Advocate,10321,2021-04-19,State,unanimous_3plus+latest_agrees,most_frequent
1053,2,P. Vishwanatha Sheety,SENIOR,0.945,P. Vishwanatha Shetty,p vishwanatha shetty,Sr.Adv,10334,2023-12-27,Union of India,unanimous_3plus+latest_agrees,most_frequent
1055,2,P. Vishwanatha Sheety,SENIOR,0.947,P. v. Vishwanatha Shetty,p v vishwanatha shetty,Sr. Adv.,10334,2023-12-27,Union of India,unanimous_3plus+latest_agrees,most_frequent
1136,2,P. Vishwanatha Sheety,SENIOR,0.945,P. Vishwanath Shetty,p vishwanath shetty,Sr. Adv.,10355,2025-08-28,Petitioner,unanimous_3plus+latest_agrees,most_frequent
1206,2,P. Vishwanatha Sheety,SENIOR,0.945,P. Viswanatha Shetty,p viswanatha shetty,Sr. Adv.,10378,2019-04-10,State,unanimous_3plus+latest_agrees,most_frequent
1219,2,P. Vishwanatha Sheety,SENIOR,0.947,P. v. Vishwanatha Shetty,p v vishwanatha shetty,Senior Advocate,10383,2018-12-04,Petitioner,unanimous_3plus+latest_agrees,most_frequent
1259,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Setty,p vishwanatha setty,Sr. Adv.,10397,2019-04-30,Intervenor,unanimous_3plus+latest_agrees,most_frequent
1330,2,P. Vishwanatha Sheety,SENIOR,0.945,P. Viswanatha Shetty,p viswanatha shetty,Sr.Adv,10420,2020-10-23,Petitioner,unanimous_3plus+latest_agrees,most_frequent
1622,2,P. Vishwanatha Sheety,SENIOR,0.868,P. V. Shetty,p v shetty,Sr. Adv.,10517,2024-03-22,State,unanimous_3plus+latest_agrees,most_frequent
1707,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanathan Shetty,p vishwanathan shetty,Senior Advocate,10543,2024-03-01,Union of India,unanimous_3plus+latest_agrees,most_frequent
1731,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Sr. Advocate,10551,2024-01-13,Intervenor,unanimous_3plus+latest_agrees,most_frequent
1732,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Sr. Advocate,10551,2024-01-13,Intervenor,unanimous_3plus+latest_agrees,most_frequent
1734,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Sr.Adv,10552,2022-12-19,State,unanimous_3plus+latest_agrees,most_frequent
